strategy,param_value,mean_e_max,mean_energy,mean_jobs_completed,std_jobs_completed,mean_jobs_dropped,std_jobs_dropped,mean_jobs_arrived,std_jobs_arrived,mean_inactive_fraction,std_inactive_fraction,mean_battery,std_battery,mean_throughput,std_throughput
S1,0.0,100.0,550.0,12.8,1.7204650534085253,0.0,0.0,15.8,2.315167380558045,0.0,0.0,85.04444444444445,3.40537882448805,0.8149045407636739,0.0733530463225595
S2,0.0,100.0,550.0,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.0,0.0,86.38666666666667,3.036045999098494,0.8886532507739938,0.038067300915553146
S3,0.0,100.0,550.0,15.0,2.0,0.0,0.0,15.8,2.315167380558045,0.001111111111111111,0.0022222222222222222,83.93555555555555,3.5840879481052195,0.952610939112487,0.04433225132510753
D1,0.0,100.0,550.0,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.0,0.0,86.12444444444445,3.2883231495402723,0.8886532507739938,0.038067300915553146
D2,0.0,100.0,550.0,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.0,0.0,86.12444444444445,3.2883231495402723,0.8886532507739938,0.038067300915553146
D3,0.0,100.0,550.0,14.8,2.315167380558045,0.0,0.0,15.8,2.315167380558045,0.011111111111111112,0.022222222222222223,83.97555555555556,3.6239832120179134,0.9359442724458203,0.03868881305683223
D4,0.0,100.0,550.0,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.0,0.0,86.20222222222223,3.238084710533772,0.8886532507739938,0.038067300915553146
S1,0.5,80.6328765374779,212.59076620150907,12.8,1.7204650534085253,0.2,0.4,15.8,2.315167380558045,0.028888888888888888,0.04463846539244592,63.06,4.042793313759408,0.8149045407636739,0.0733530463225595
S2,0.5,80.6328765374779,212.59076620150907,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.01888888888888889,0.03231786571610886,64.24111111111111,3.5004948503791358,0.8886532507739938,0.038067300915553146
S3,0.5,80.6328765374779,212.59076620150907,15.0,2.0,0.0,0.0,15.8,2.315167380558045,0.004444444444444444,0.006478835438717001,61.473333333333336,3.982144406481776,0.952610939112487,0.04433225132510753
D1,0.5,80.6328765374779,212.59076620150907,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.00888888888888889,0.01777777777777778,64.17111111111112,3.557448107427152,0.8886532507739938,0.038067300915553146
D2,0.5,80.6328765374779,212.59076620150907,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.00888888888888889,0.01777777777777778,64.17111111111112,3.557448107427152,0.8886532507739938,0.038067300915553146
D3,0.5,80.6328765374779,212.59076620150907,14.6,2.0591260281974,0.0,0.0,15.8,2.315167380558045,0.01666666666666667,0.020487876571761973,62.14777777777779,3.7080769366210866,0.9254179566563467,0.041225346092216904
D4,0.5,80.6328765374779,212.59076620150907,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.007777777777777779,0.015555555555555559,64.16333333333333,3.565959777647872,0.8886532507739938,0.038067300915553146
S1,1.0,111.26575307495577,325.18153240301814,12.8,1.7204650534085253,0.0,0.0,15.8,2.315167380558045,0.0,0.0,93.61666666666666,4.093842108567029,0.8149045407636739,0.0733530463225595
S2,1.0,111.26575307495577,325.18153240301814,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.0,0.0,94.84888888888888,3.6118245449093878,0.8886532507739938,0.038067300915553146
S3,1.0,111.26575307495577,325.18153240301814,15.0,2.0,0.0,0.0,15.8,2.315167380558045,0.001111111111111111,0.0022222222222222222,92.12666666666667,4.092524651690122,0.952610939112487,0.04433225132510753
D1,1.0,111.26575307495577,325.18153240301814,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.0,0.0,94.5588888888889,3.608343554856788,0.8886532507739938,0.038067300915553146
D2,1.0,111.26575307495577,325.18153240301814,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.0,0.0,94.5588888888889,3.608343554856788,0.8886532507739938,0.038067300915553146
D3,1.0,111.26575307495577,325.18153240301814,14.6,2.0591260281974,0.0,0.0,15.8,2.315167380558045,0.006666666666666668,0.013333333333333336,92.28666666666666,3.860449343768481,0.9254179566563467,0.041225346092216904
D4,1.0,111.26575307495577,325.18153240301814,14.0,1.8973665961010275,0.0,0.0,15.8,2.315167380558045,0.0,0.0,94.5588888888889,3.608343554856788,0.8886532507739938,0.038067300915553146
